actual_timesteps,approximate_kl,clip_fraction,effective_device,entropy_loss,environment_version,error,explained_variance,feature_version,learning_rate,parameter_count,policy_gradient_loss,recurrent_continuity_checks,recurrent_continuity_verified,recurrent_contract_version,requested_device,requested_timesteps,rollout_boundaries_observed,run_id,runtime_seconds,seed,status,steps_per_second,study_version,symbol,test_partition_loaded,train_end,train_rows,train_start,updates,validation_end,validation_exposure_percentage,validation_first_episode_start,validation_max_drawdown,validation_parameters_unchanged,validation_return,validation_rows,validation_sharpe,validation_start,validation_status,validation_trade_count,value_loss,worker_wall_seconds
100352,0.03681317716836929,0.1279296875,cpu,-0.3153656110167503,single_symbol_env_v1,,0.9072378277778625,psx-4a-126450ec6355,0.0003,51076,-0.01561216545815114,195,True,rl_recurrent_partition_v1,cpu,100000,196,budget-d485c290b28b0076c212,211.56090216700068,42,completed,474.3409532295563,recurrent_budget_study_v1,AKDHL,False,2025-04-21,709,2021-10-07,1960,2025-12-15,50.993377483443716,True,0.18863052503279099,True,0.16936314971055233,152,0.9544527440187888,2025-04-22,completed,24,0.0005796220541014919,211.6330444590003
250368,0.04625163972377777,0.1443359375,cpu,-0.25809059347957375,single_symbol_env_v1,,0.9754173755645752,psx-4a-126450ec6355,0.0003,51076,-0.02239460569107905,488,True,rl_recurrent_partition_v1,cpu,250000,489,budget-5a632e4d5f03b0bef110,553.1834903750005,42,completed,452.59485208113625,recurrent_budget_study_v1,AKDHL,False,2025-04-21,709,2021-10-07,4890,2025-12-15,19.867549668874172,True,0.2043763070152551,True,0.199361179706101,152,0.9924744206142837,2025-04-22,completed,18,0.0003696343838782923,553.2742066669998
50176,0.02425719052553177,0.0931640625,cpu,-0.31435353569686414,single_symbol_env_v1,,0.9508686661720276,psx-4a-126450ec6355,0.0003,51076,-0.018959246337180956,97,True,rl_recurrent_partition_v1,cpu,50000,98,budget-264f3959b80ebfff524d,122.05487783299941,123,completed,411.09377102202257,recurrent_budget_study_v1,AKDHL,False,2025-04-21,709,2021-10-07,980,2025-12-15,64.23841059602648,True,0.16142623884048624,True,0.11830983964706498,152,0.6778784020575046,2025-04-22,completed,5,0.0008483001119202527,122.14235729199936
100352,0.04580753296613693,0.13125,cpu,-0.30809225514531136,single_symbol_env_v1,,0.8999428749084473,psx-4a-126450ec6355,0.0003,51076,-0.023855822766199707,195,True,rl_recurrent_partition_v1,cpu,100000,196,budget-52cca3ca73def6c2d18c,232.4357085419997,123,completed,431.74089140381375,recurrent_budget_study_v1,AKDHL,False,2025-04-21,709,2021-10-07,1960,2025-12-15,76.15894039735099,True,0.166945762175995,True,0.0847481568670101,152,0.5291343685133335,2025-04-22,completed,7,0.0009488821295235538,232.5229394170001
250368,0.13067969679832458,0.1595703125,cpu,-0.19153205063194037,single_symbol_env_v1,,0.9920189380645752,psx-4a-126450ec6355,0.0003,51076,-0.03396759629831649,488,True,rl_recurrent_partition_v1,cpu,250000,489,budget-4621c981a78dcacca3ca,590.5300614579992,123,completed,423.9716423273181,recurrent_budget_study_v1,AKDHL,False,2025-04-21,709,2021-10-07,4890,2025-12-15,54.966887417218544,True,0.13365425774653406,True,0.365187679949756,152,1.628615840626735,2025-04-22,completed,29,0.00031603886859556953,590.6069693329991
50176,0.023523489013314247,0.1484375,cpu,-0.4969791412353516,single_symbol_env_v1,,0.9310333132743835,psx-4a-126450ec6355,0.0003,51076,-0.02029999904916622,97,True,rl_recurrent_partition_v1,cpu,50000,98,budget-4a2f1ae39b584ade9614,108.63595766699837,2026,completed,461.87285570588347,recurrent_budget_study_v1,AKDHL,False,2025-04-21,709,2021-10-07,980,2025-12-15,49.668874172185426,True,0.09815396668551979,True,0.3932653889808748,152,1.8151506426933757,2025-04-22,completed,9,0.0008852952703819028,108.71581374999914
100352,0.037076737731695175,0.1482421875,cpu,-0.31729044802486894,single_symbol_env_v1,,0.8767030835151672,psx-4a-126450ec6355,0.0003,51076,-0.011443931696703658,195,True,rl_recurrent_partition_v1,cpu,100000,196,budget-1281235d35b659b70f1c,216.30425758400088,2026,completed,463.93908802756096,recurrent_budget_study_v1,AKDHL,False,2025-04-21,709,2021-10-07,1960,2025-12-15,58.94039735099338,True,0.12925182864973772,True,0.2019362925325403,152,1.1228062266389554,2025-04-22,completed,17,0.001173518016912567,216.3814074999991
250368,0.08311191201210022,0.141015625,cpu,-0.22652543392032384,single_symbol_env_v1,,0.981346070766449,psx-4a-126450ec6355,0.0003,51076,-0.020323501818347724,488,True,rl_recurrent_partition_v1,cpu,250000,489,budget-7a89b0c8d83170c6c8b8,558.436124459,2026,completed,448.33775795316024,recurrent_budget_study_v1,AKDHL,False,2025-04-21,709,2021-10-07,4890,2025-12-15,37.086092715231786,True,0.13367009079946235,True,0.05249545494034091,152,0.4833362951474549,2025-04-22,completed,17,0.0006124705758338677,558.5193016659996
50176,0.05515659600496292,0.1595703125,cpu,-0.3709988370537758,single_symbol_env_v1,,0.7051805257797241,psx-4a-126450ec6355,0.0003,51076,-0.02029929792624898,97,True,rl_recurrent_partition_v1,cpu,50000,98,budget-4092c2bc385c9825b486,105.24979050000002,42,completed,476.73254038448647,recurrent_budget_study_v1,GLAXO,False,2023-08-22,1703,2016-10-06,980,2025-02-12,40.77134986225895,True,0.19111137459579208,True,0.506959264053916,364,1.266520122712255,2023-08-23,completed,10,0.0021411105797596976,105.39740145800079
100352,0.02661161683499813,0.159765625,cpu,-0.38760037776082756,single_symbol_env_v1,,0.44157522916793823,psx-4a-126450ec6355,0.0003,51076,-0.015073353657498956,195,True,rl_recurrent_partition_v1,cpu,100000,196,budget-515c261bd1848808c426,215.90865424999993,42,completed,464.789150525679,recurrent_budget_study_v1,GLAXO,False,2023-08-22,1703,2016-10-06,1960,2025-02-12,46.83195592286501,True,0.17201269181263523,True,0.9343088811029407,364,1.8631908526565155,2023-08-23,completed,19,0.0002434613646073558,216.04880320899974
