symbol,train_rows,train_start,train_end,median_volume,average_volume,zero_volume_ratio,zero_ohl_ratio,non_positive_close_rows,validation_available,recurrent_contract_version,feature_version,environment_version,active_span_coverage,history_rank,coverage_rank,liquidity_rank,selection_distance,selection_regime
MARI,1704,2016-10-06,2023-08-23,21222.0,37894.43133802817,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,1.0,0.9259259259259259,0.8900462962962963,0.5578703703703703,0.004235950360082298,long_history_high_coverage
AGP,1421,2018-05-15,2024-02-15,86106.0,272549.85080928926,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,0.9978932584269663,0.5324074074074074,0.7245370370370371,0.6805555555555556,0.034252614883401936,medium_history
LSEFSL,341,2024-08-16,2025-12-29,8361.0,41883.90615835777,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,0.9912790697674418,0.05324074074074074,0.6712962962962963,0.4583333333333333,0.007940886488340196,shorter_valid_history
WAVES,1628,2017-03-10,2023-10-09,489000.0,1206105.343980344,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,1.0,0.6435185185185185,0.8900462962962963,0.8356481481481481,0.017870209619341555,high_liquidity
GLAXO,1703,2016-10-06,2023-08-22,44500.0,131322.01996476806,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,1.0,0.8333333333333334,0.8900462962962963,0.6261574074074074,0.02295921210562416,medium_liquidity
AKDHL,709,2021-10-07,2025-04-21,800.0,2595.366713681241,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,0.8102857142857143,0.18287037037037038,0.4236111111111111,0.10648148148148148,0.008254029492455416,lower_liquidity_sparse_valid
