symbol,train_rows,train_start,train_end,median_volume,average_volume,zero_volume_ratio,zero_ohl_ratio,non_positive_close_rows,validation_available,recurrent_contract_version,feature_version,environment_version,active_span_coverage
PTC,1704,2016-10-06,2023-08-23,701250.0,2260071.5962441317,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,1.0
PTL,909,2021-05-03,2025-01-08,162500.0,355665.1078107811,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,1.0
QTECH,1634,2016-10-17,2023-09-27,50750.0,280749.08200734394,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,0.9477958236658933
QUET,864,2017-02-06,2025-01-21,3000.0,16699.24884259259,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,0.4385786802030457
QUICE,1698,2016-10-06,2023-08-25,193250.0,628163.7220259128,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,0.9953106682297772
REDCO,1367,2016-10-06,2023-11-30,11000.0,62747.622531089975,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,0.7710095882684715
REWM,1246,2016-11-24,2023-05-29,5500.0,16316.61316211878,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,0.7719950433705081
RICL,1255,2016-10-06,2024-04-15,8500.0,38884.46215139442,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,0.6736446591519055
RMPL,1031,2016-10-27,2024-10-23,60.0,169.4287099903007,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,0.5212335692618807
RPL,1599,2017-05-10,2023-10-26,101500.0,242722.32645403378,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,0.999375
RUBY,1201,2016-10-13,2024-06-28,4000.0,15045.547876769358,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,0.6291251964379256
RUPL,1165,2016-11-01,2024-06-20,5000.0,14545.951072961374,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,0.6164021164021164
SAIF,1456,2016-10-31,2023-12-26,6500.0,25831.043956043955,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,0.8202816901408451
SANSM,648,2017-05-03,2025-06-04,1500.0,5103.766975308642,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,0.32416208104052024
SAPT,915,2017-04-25,2024-11-08,100.0,349.4896174863388,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,0.49087982832618027
SARC,931,2016-10-31,2024-11-08,3000.0,15977.296455424275,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,0.46830985915492956
SASML,673,2016-12-14,2025-04-24,1000.0,3585.895988112927,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,0.3251207729468599
SAZEW,1674,2016-10-06,2023-09-11,87000.0,284102.19653524493,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,0.9749563191613279
SBL,1217,2016-10-21,2024-06-21,9500.0,113762.1700903862,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,0.6412012644889358
SCBPL,1495,2016-10-10,2024-01-01,11000.0,68606.6889632107,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,0.8342633928571429
SEARL,1704,2016-10-06,2023-08-23,424068.5,725855.3867370893,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,1.0
SEL,700,2016-11-03,2025-04-03,2000.0,7354.342857142857,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,0.3360537686029765
SEPL,1618,2016-10-06,2023-10-09,6050.0,22345.92088998764,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,0.9320276497695853
SERT,1098,2016-11-24,2024-09-05,3500.0,13136.69034608379,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,0.5703896103896103
SFL,886,2016-11-07,2024-12-13,104.0,2158.4830699774266,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,0.44123505976095617
SGF,876,2021-07-14,2025-01-28,68444.0,149850.10273972602,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,0.9988597491448119
SGPL,759,2021-09-10,2025-04-14,12000.0,47574.71277997365,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,0.8537682789651294
SHCM,474,2017-08-04,2025-09-30,1150.5,3549.6286919831223,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,0.23500247892910262
SHDT,1096,2016-11-03,2024-08-27,4500.0,14521.583941605839,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,0.5669943093636834
SHEZ,1323,2016-10-31,2024-04-22,1200.0,8629.61753590325,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,0.7139773340528872
SHFA,1530,2016-10-14,2023-11-27,5900.0,30604.70588235294,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,0.8663646659116648
SHJS,1002,2016-11-17,2024-06-12,1200.0,4613.956087824351,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,0.5344
SHNI,1358,2016-10-18,2024-02-21,5500.0,22856.038291605302,0.0,0.0,0,True,rl_recurrent_partition_v1,psx-4a-126450ec6355,single_symbol_env_v1,0.7449259462424574
