symbol,requested_timesteps,successful_runs,actual_timesteps_mean,actual_timesteps_std,runtime_seconds_mean,runtime_seconds_std,steps_per_second_mean,steps_per_second_std,approximate_kl_mean,approximate_kl_std,clip_fraction_mean,clip_fraction_std,entropy_loss_mean,entropy_loss_std,explained_variance_mean,explained_variance_std,policy_gradient_loss_mean,policy_gradient_loss_std,value_loss_mean,value_loss_std,validation_return_mean,validation_return_std,validation_sharpe_mean,validation_sharpe_std,validation_max_drawdown_mean,validation_max_drawdown_std,validation_trade_count_mean,validation_trade_count_std,validation_exposure_percentage_mean,validation_exposure_percentage_std
AGP,50000,3,50176.0,0.0,106.44902209733068,1.5410973824478922,471.4609628878372,6.851569036686195,0.029260422723988693,0.013998842477406924,0.10729166666666667,0.016482287009021015,-0.44438682319596406,0.07881424933977513,0.6687159339586893,0.1742318335488882,-0.015199644262126338,0.005659486871678483,0.0010969046936224914,0.0001519876814543848,0.21546179004619073,0.1819066299614989,0.7601578923896719,0.8738237083802557,0.10065698966289012,0.05754907677476547,10.0,1.632993161855452,11.331133113311331,7.1617077222265335
AGP,100000,3,100352.0,0.0,214.69517251330458,2.0480456031793572,467.45865108177094,4.451037803327603,0.027279659174382687,0.012931090215803624,0.13203125000000002,0.0106488606925567,-0.42333637978881605,0.06770474496456587,0.8206328948338827,0.07434492439381618,-0.017551813893563428,0.003124855599631777,0.0008856949195129952,0.0003749237205771616,0.43641529550929276,0.2464268297437964,1.618079611585002,0.8523513258694587,0.1299175235803556,0.061665615323090506,15.333333333333334,4.784233364802441,16.831683168316832,8.904777269460093
AGP,250000,3,250368.0,0.0,530.3957985973333,1.6480169484571192,472.0444984133008,1.467651620313449,0.07441217700640361,0.011142660235354887,0.18925781249999998,0.0191744758066795,-0.3491857485224803,0.03611543240661157,0.9584054748217264,0.00897107816346188,-0.030338574709215513,0.002670203690026634,0.0006419702683767053,0.00022474609588611568,0.4441110375943608,0.31052316192970514,1.4876961511722524,0.44771802747750106,0.10369069657421419,0.039910814290178856,14.666666666666666,5.734883511361751,13.09130913091309,9.57411780947616
AKDHL,50000,3,50176.0,0.0,113.21498480533289,6.252097685339011,444.49691638925697,23.626007712887972,0.025241509700814884,0.0019341768322726066,0.1341796875,0.029447961113411216,-0.4421851134548585,0.0906968971524083,0.948154350121816,0.013013467619875601,-0.020893424365203823,0.0018692223797349976,0.000842254813414911,3.785251185076036e-05,0.2402221043268485,0.11438820985527547,1.2945210291541267,0.4692269610110583,0.11550859288910535,0.032789527583744836,8.666666666666666,2.8674417556808756,43.267108167770424,20.24897535623598
AKDHL,100000,3,100352.0,0.0,220.10028943100042,8.934829923246106,456.67364422031034,18.134338002373827,0.0398991492887338,0.004179243496311103,0.13580729166666666,0.008896669585255005,-0.31358277139564356,0.00396110892708318,0.8946279287338257,0.01301996265807227,-0.016970639973684833,0.0051573798087320025,0.0009006740668458709,0.0002448416040915365,0.15201586637003425,0.049389344091364765,0.8687977797236925,0.24981879895086329,0.16160937195284122,0.024533177420220615,16.0,6.97614984548545,62.030905077262695,10.503644373836922
AKDHL,250000,3,250368.0,0.0,567.3832254306666,16.507161168459916,441.63475078720484,12.610042636800898,0.08668108284473419,0.034559884651332654,0.14830729166666667,0.008078689971915395,-0.2253826926772793,0.02718442323171462,0.9829274614651998,0.006869185626982928,-0.02556190126924775,0.006003562803546676,0.00043271460943590984,0.0001289761616381181,0.20568143819873264,0.1277342714280834,1.0348088521294911,0.4685157147076951,0.15723355185375051,0.033334962485200306,21.333333333333332,5.436502143433364,37.30684326710817,14.33009480540175
GLAXO,50000,3,50176.0,0.0,105.80241373633301,1.0023969774689592,474.28479697404254,4.465627555607187,0.03087242196003596,0.017178203025454565,0.1396484375,0.016940099162502466,-0.5452917024493217,0.12350423983842777,0.6378350456555685,0.09566212061308749,-0.021365641542555144,0.002113380843059408,0.001676407637144924,0.0003551501594339944,0.27429152118213573,0.17924951878645426,1.015616063640268,0.2931235725969426,0.1116474829790595,0.056203688321257515,7.333333333333333,1.8856180831641267,21.671258034894397,13.535739777916088
GLAXO,100000,3,100352.0,0.0,214.9858513053329,2.3533170672527044,466.84047141363845,5.140118757318661,0.022831421966354053,0.007865355436978343,0.14114583333333333,0.03028176688728668,-0.4424891230339805,0.04187044388168561,0.6323139270146688,0.1368799345975117,-0.014195461460622028,0.001165045134198563,0.0002637839274787742,0.00010287669579500334,0.36792646998931144,0.40120124937434803,0.8935027039785476,0.691933401876173,0.18531087868472815,0.01373471478713918,21.666666666666668,2.0548046676563256,36.27180899908172,8.660055649478299
GLAXO,250000,3,250368.0,0.0,537.0811449443336,10.045376535029142,466.32622096313145,8.663313767992996,0.04219383249680201,0.007628352931611022,0.17688802083333333,0.015502722497658591,-0.4067641930033763,0.04051156688234217,0.9408556620279948,0.04357965337329321,-0.021544860074451815,0.006867556533459925,0.0003497243511446868,0.0001240309249847027,0.1858698765160113,0.22154245038953768,0.6327037397988466,0.5933412040641138,0.15004546830030227,0.04268753833734885,18.0,3.265986323710904,30.02754820936639,8.7144120581218
LSEFSL,50000,3,50176.0,0.0,114.75709709733337,2.347578165764995,437.4215041196166,9.040444567795252,0.029879365116357803,0.0027393439457966172,0.13789062500000002,0.01080533051985126,-0.367523426686724,0.045514280655442246,0.9828774531682333,0.006234467123945094,-0.018082029845875997,0.002518384479176639,0.00356601478936985,0.0015823213140484867,-0.4396799624627197,0.08894649674909486,-2.714366543877937,0.9374840330213337,0.5399529644582983,0.03694769119141122,10.666666666666666,0.4714045207910317,81.01851851851852,4.583099507690582
LSEFSL,100000,3,100352.0,0.0,228.06236837500015,4.618465073570353,440.20159678473163,8.968830939378913,0.05946929752826691,0.018589720598284048,0.11041666666666668,0.009399833284527431,-0.20047809512664874,0.024828633887146075,0.9941858053207397,0.001861147566529164,-0.01621193773850488,0.004175000690802487,0.0013817166881987459,0.0004180868999735194,-0.4046087230894411,0.052134933131429376,-2.2745438230138113,0.4938596428608065,0.5483667228374965,0.03236818953298799,14.333333333333334,1.8856180831641267,78.70370370370371,7.965115988002431
LSEFSL,250000,3,250368.0,0.0,559.8609020553334,6.865807558639354,447.2643709146824,5.510666257877437,0.061506656308968864,0.0057344792818627135,0.12779947916666667,0.005573160041414762,-0.19421143820509312,0.013414889180966769,0.9899296164512634,0.008228527616970904,-0.020293156744446605,0.0005904959835245361,0.0021144706067389054,0.0012071755121979568,-0.2340945209245926,0.18938463777061962,-1.0987272487500896,1.1366148372436846,0.4430772390381709,0.10868544793631073,18.666666666666668,5.436502143433363,62.03703703703703,13.14358293201703
MARI,50000,3,50176.0,0.0,107.75549026400161,2.393572273710739,465.8803123898619,10.512123049093448,0.03110897292693456,0.01190295464425453,0.15032552083333334,0.03461913679894392,-0.47255208982775604,0.07944208823345394,0.6266802151997884,0.10466136796064017,-0.018966114878033596,0.00205244822893518,0.0007008168903363791,7.738199563913781e-05,0.3940188157329254,0.4925592167720528,0.4935935640765192,0.9240185622805747,0.3417228519945576,0.11278887127795899,10.0,5.0990195135927845,34.249084249084255,14.302141395864203
MARI,100000,3,100352.0,0.0,215.69487241632305,2.865283762000304,465.3326364239438,6.23456087856244,0.03535872822006544,0.015478769529626209,0.16490885416666667,0.027063450484094493,-0.40817902057121197,0.016512343695206915,0.1664280891418457,0.062040102891226905,-0.022546498879091815,0.0014505360539778741,0.00040197415449559534,0.00021049943658495228,0.26313579738584036,0.1752462299399398,0.6112756272018023,0.3015235935545881,0.325635965757372,0.13548592385194363,9.333333333333334,3.0912061651652345,35.16483516483516,7.715167498104597
